,work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
0,2024.0,MI,FT,Data Scientist,AU,0.0,AU,S
1,2022.0,SE,CT,Data Science Manager,US,100.0,US,M
2,2023.0,EN,PT,Business Intelligence Engineer,GB,50.0,GB,L
3,2020.0,EX,FL,Data Architect,CA,,CA,
4,2021.0,,,Data Analyst,NL,,NL,
5,,,,Business Intelligence,LT,,LT,
6,,,,ML Engineer,DK,,DK,
7,,,,Data Modeler,FR,,FR,
8,,,,Machine Learning Engineer,ZA,,ZA,
9,,,,Data Integration Specialist,NZ,,NZ,
10,,,,Research Scientist,AR,,AR,
11,,,,Data Engineer,ES,,ES,
12,,,,Data Product Manager,KE,,KE,
13,,,,Data Manager,LV,,LV,
14,,,,Data Visualization Specialist,GE,,IN,
15,,,,Data Science,IN,,DE,
16,,,,Data Specialist,DE,,IL,
17,,,,Business Intelligence Lead,IL,,FI,
18,,,,Research Analyst,FI,,AT,
19,,,,Business Intelligence Analyst,AT,,BR,
20,,,,AI Engineer,HR,,CH,
21,,,,AI Software Engineer,BR,,AE,
22,,,,Machine Learning Scientist,CH,,PL,
23,,,,Data Science Engineer,AE,,SA,
24,,,,Applied Scientist,GR,,UA,
25,,,,Machine Learning Operations Engineer,PL,,EG,
26,,,,Analytics Engineer,SA,,PH,
27,,,,Data Management Analyst,UA,,TR,
28,,,,Encounter Data Management Professional,EG,,OM,
29,,,,Data Analytics Specialist,PH,,MX,
30,,,,Head of Data,TR,,PT,
31,,,,Data Analytics Lead,OM,,BA,
32,,,,Research Engineer,MX,,IT,
33,,,,AI Scientist,PT,,AS,
34,,,,Business Intelligence Developer,BA,,IE,
35,,,,Machine Learning Developer,IT,,EE,
36,,,,Data Management Specialist,IE,,MT,
37,,,,Data Infrastructure Engineer,EE,,HU,
38,,,,BI Developer,MT,,LB,
39,,,,Admin & Data Analyst,LB,,RO,
40,,,,Insight Analyst,RO,,VN,
41,,,,Consultant Data Engineer,HU,,NG,
42,,,,Business Intelligence Manager,VN,,LU,
43,,,,Manager Data Management,NG,,GI,
44,,,,Data Quality Manager,CZ,,CO,
45,,,,Data Analytics Manager,PK,,SI,
46,,,,Robotics Engineer,UG,,GR,
47,,,,Business Intelligence Specialist,CO,,MU,
48,,,,Data Operations Analyst,SI,,RU,
49,,,,Director of Business Intelligence,MU,,KR,
50,,,,Data Product Owner,AM,,CZ,
